5. adjusted close,6. volume,Returns,volatility,SMA,Real Upper Band,Real Middle Band,Real Lower Band,ATR
13.565,2810300.0,1.0434615384615384,1.4229211267554611,11.97107142857143,14.7134,11.9711,9.2287,0.8843
13.47,1967800.0,0.992996682639145,1.386233383851901,12.19892857142857,14.8705,12.1989,9.5273,0.8568
13.405,2415600.0,0.9951744617668893,1.3448498118687877,12.395357142857142,14.9872,12.3954,9.8035,0.8403
13.625,3166200.0,1.0164117866467737,1.2376662392503952,12.631785714285714,15.0171,12.6318,10.2465,0.8228
13.845,1880400.0,1.0161467889908258,1.130613528377158,12.861785714285714,15.0408,12.8618,10.6828,0.8133
15.25,8743100.0,1.1014806789454676,1.118662429809872,13.185357142857143,15.3413,13.1854,11.0294,0.8555
14.125,3551600.0,0.9262295081967213,0.8401984982630656,13.442142857142857,15.0614,13.4421,11.8229,0.888
13.75,2688300.0,0.9734513274336283,0.6286974149465172,13.602857142857143,14.8145,13.6029,12.3912,0.8692
15.25,3366300.0,1.1090909090909091,0.75896844756261,13.683214285714286,15.1459,13.6832,12.2205,0.9143
15.5,8274000.0,1.0163934426229508,0.8890154605016626,13.841785714285715,15.5551,13.8418,12.1284,0.9583
15.72,5548200.0,1.0141935483870967,0.9630652329189013,14.051785714285714,15.9079,14.0518,12.1957,0.9187
15.875,4177500.0,1.0098600508905853,1.0135185827514037,14.266071428571427,16.2194,14.2661,12.3128,0.9288
14.875,3512600.0,0.937007874015748,0.9887471954364845,14.375357142857142,16.2809,14.3754,12.4698,0.9407
14.69,3578500.0,0.987563025210084,0.9077639022332848,14.496071428571428,16.2456,14.4961,12.7466,0.9517
14.625,3102800.0,0.995575221238938,0.8674423216091548,14.571785714285713,16.2436,14.5718,12.9,0.9373
14.535,1963100.0,0.9938461538461538,0.8080525361007791,14.647857142857143,16.2052,14.6479,13.0905,0.9329
13.815,2727600.0,0.9504643962848297,0.7658723389445788,14.677142857142856,16.1532,14.6771,13.2011,0.9512
13.565,3213900.0,0.9819037278320666,0.7723533325685017,14.672857142857142,16.1614,14.6729,13.1843,0.9569
14.75,2939100.0,1.0873571691854036,0.7346892330984375,14.737499999999999,16.1534,14.7375,13.3216,0.9731
14.405,2523000.0,0.9766101694915253,0.723978628790281,14.677142857142856,16.0724,14.6771,13.2819,0.9572
14.625,2373100.0,1.0152724748351267,0.7067741296409137,14.712857142857143,16.075,14.7129,13.3507,0.9492
15.03,2407100.0,1.0276923076923077,0.6534136902066349,14.804285714285713,16.0636,14.8043,13.545,0.9307
14.405,1213300.0,0.958416500332668,0.6480805344406513,14.74392857142857,15.9929,14.7439,13.4949,0.9131
14.315,1233000.0,0.99375216938563,0.6184436332217575,14.659285714285714,15.8512,14.6593,13.4674,0.8811
14.47,1235800.0,1.0108278030038422,0.5386057499193201,14.569999999999999,15.608,14.57,13.532,0.8539
14.375,780300.0,0.9934346924671734,0.38685474458327584,14.462857142857143,15.2084,14.4629,13.7173,0.8129
14.22,522600.0,0.9892173913043478,0.3725183452964635,14.416071428571428,15.134,14.4161,13.6981,0.7838
14.22,892400.0,1.0,0.367071309358064,14.382499999999999,15.0899,14.3825,13.6751,0.7614
14.47,882800.0,1.0175808720112518,0.3614895922080227,14.37142857142857,15.0681,14.3714,13.6747,0.7405
15.5,3921600.0,1.0711817553559086,0.4706111586409321,14.440357142857142,15.3473,14.4404,13.5334,0.768
14.625,3145100.0,0.9435483870967742,0.4363599746453905,14.498214285714285,15.3392,14.4982,13.6572,0.7778
14.655,4102300.0,1.002051282051282,0.34464685700576914,14.576071428571428,15.2403,14.5761,13.9119,0.7715
16.0,5744700.0,1.0917775503241216,0.5136500765101674,14.665357142857143,15.6553,14.6654,13.6754,0.8125
16.25,4271700.0,1.015625,0.658087889517556,14.797142857142857,16.0654,14.7971,13.5288,0.828
17.5,6458200.0,1.0769230769230769,0.9733146182781025,15.0025,16.8783,15.0025,13.1267,0.876
17.03,3339900.0,0.9731428571428572,1.1142338939063352,15.145357142857142,17.2928,15.1454,12.998,0.8849
18.125,4409300.0,1.0642982971227246,1.343972553765415,15.411071428571429,18.0012,15.4111,12.8209,0.9331
18.875,3771100.0,1.0413793103448277,1.5882641796614354,15.736785714285714,18.7978,15.7368,12.6758,0.96
20.19,7503900.0,1.0696688741721856,1.9351589720880193,16.145357142857144,19.8749,16.1454,12.4158,1.0186
19.5,5435700.0,0.9658246656760772,2.0555042695644823,16.511428571428574,20.4729,16.5114,12.55,1.0373
19.595,4462200.0,1.004871794871795,2.0961580829677957,16.895357142857144,20.9352,16.8954,12.8555,1.1128
19.5,14423600.0,0.9951518244450115,2.052310845776615,17.2725,21.2278,17.2725,13.3172,1.288
18.94,5857500.0,0.9712820512820514,1.9266367738216195,17.591785714285717,21.3049,17.5918,13.8787,1.3031
17.25,5134900.0,0.9107708553326292,1.8350766145637358,17.716785714285717,21.2534,17.7168,14.1801,1.3754
20.0,5402900.0,1.1594202898550725,1.69542127410957,18.100714285714286,21.3682,18.1007,14.8332,1.4914
18.5,3798900.0,0.925,1.375566267013362,18.375357142857144,21.0264,18.3754,15.7243,1.5078
18.47,3083900.0,0.9983783783783783,1.1938699309757042,18.551785714285717,20.8527,18.5518,16.2509,1.4758
17.625,3433600.0,0.9542501353546292,1.0360761777754885,18.650000000000002,20.6468,18.65,16.6532,1.4907
18.0,2144400.0,1.0212765957446808,1.0014237117970943,18.685714285714287,20.6157,18.6857,16.7557,1.4489
18.28,2555600.0,1.0155555555555555,0.8922163414777942,18.775000000000002,20.4945,18.775,17.0555,1.4079
